🕘️更新时间,#genre#
2025-03-19 06:28:55,http://tv.20191209.xyz:37377/migu/651632648.m3u8?migutoken=a9a2b71c87ef01a1f546b80d3776d4e2ab5a03525b06b379f6d3ebca3a7a40f732115ab805783c8a8a73e5580900755cdfb3b6d3c2b9308a46141d56b6b629038613c381a9027a60e527e1c8

咪咕节目,#genre#
东方卫视咪咕,http://tv.20191209.xyz:37377/migu/651632648.m3u8?migutoken=a9a2b71c87ef01a1f546b80d3776d4e2ab5a03525b06b379f6d3ebca3a7a40f732115ab805783c8a8a73e5580900755cdfb3b6d3c2b9308a46141d56b6b629038613c381a9027a60e527e1c8
江苏卫视咪咕,http://tv.20191209.xyz:37377/migu/623899368.m3u8?migutoken=0c1255f44cf0460d401afd9fdc722c6398b97c5880dc9c45f00ae3faa4d208ecd6942cc08a2f3f09bac00b520297cc93d1b83c17d52ade00620508eae303d397c58e8b1deb59c8ac4158cd7d
湾区卫视咪咕,http://tv.20191209.xyz:37377/migu/608917627.m3u8?migutoken=9834d810bca2c8694ae0e82057357a221a863429f08360a858b31c312185e541b0c4e94c3f4e5c15838761b6e369b796ec139c7f8c819c0861e03d26cd07a26a6738deb1cade7ee3fa7648dd

央视频道,#genre#
CCTV1,http://3.itv.nctv.top:34567/gaoma/cctv1.m3u8#http://1752e145z8.vicp.fun:35455/gaoma/cctv1.m3u8#http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0#http://39.170.52.236:808/hls/1/index.m3u8#http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0#http://39.170.52.236:808/hls/1/index.m3u8#http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://218.15.20.81:3388/hls/1/index.m3u8
CCTV1,http://123.101.157.20:808/hls/1/index.m3u8
CCTV1,http://121.17.146.188:50003/hls/1/index.m3u8
CCTV1,http://121.17.146.178:50003/hls/1/index.m3u8
CCTV1,http://114.104.171.233:20080/hls/1/index.m3u8
CCTV2,http://1752e145z8.vicp.fun:35455/gaoma/cctv2.m3u8#http://tv.20191209.xyz:37377/migu/631780532.m3u8?migutoken=862217ff2cffee0a741039e700509cb8f9a8b1920fe6cee55afb89ef1551eba3ecc744e93cf8e52cd8b4bf1a27c7a074745b640058072bfa4ad145917cdeb959261218d7b78174684a74ae78#http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://tv.20191209.xyz:37377/migu/631780532.m3u8?migutoken=862217ff2cffee0a741039e700509cb8f9a8b1920fe6cee55afb89ef1551eba3ecc744e93cf8e52cd8b4bf1a27c7a074745b640058072bfa4ad145917cdeb959261218d7b78174684a74ae78#http://218.58.136.82:352/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://218.15.20.81:3388/hls/2/index.m3u8
CCTV2,http://123.101.157.20:808/hls/2/index.m3u8
CCTV2,http://121.17.146.188:50003/hls/2/index.m3u8
CCTV2,http://121.17.146.178:50003/hls/2/index.m3u8
CCTV2,http://114.104.171.233:20080/hls/2/index.m3u8
CCTV3,http://1752e145z8.vicp.fun:35455/gaoma/cctv3.m3u8#http://tv.20191209.xyz:37377/migu/624878271.m3u8?migutoken=6bf1444e1fd674ffdba5c57e719cecb87358abd9dfd0059ccfaceb24503ca14f393ec4b44fc2a4b2b5eded13d1f30a2052d85600414a1274345fcd95bd9848cf13bffeef1945f996928f0095#http://39.170.52.236:808/hls/3/index.m3u8#http://221.2.148.205:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://tv.20191209.xyz:37377/migu/624878271.m3u8?migutoken=6bf1444e1fd674ffdba5c57e719cecb87358abd9dfd0059ccfaceb24503ca14f393ec4b44fc2a4b2b5eded13d1f30a2052d85600414a1274345fcd95bd9848cf13bffeef1945f996928f0095#http://39.170.52.236:808/hls/3/index.m3u8#http://60.172.130.146:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://218.15.20.81:3388/hls/3/index.m3u8
CCTV3,http://123.101.157.20:808/hls/3/index.m3u8
CCTV3,http://121.17.146.188:50003/hls/3/index.m3u8
CCTV3,http://121.17.146.178:50003/hls/3/index.m3u8
CCTV3,http://58.58.111.222:808/hls/103/index.m3u8
CCTV4,http://tv.20191209.xyz:37377/migu/631780421.m3u8?migutoken=40b6a739d50c9611ac1bd3d6237cc8012f7bd8bd06945da894d03e393a3af480e950d8dc5e1a28cc2b74626afd48a747c2298114358e3f95be67743f3627ea5c2b12422eb6f434b52d57ce8c#http://tv.20191209.xyz:37377/migu/608807419.m3u8?migutoken=f623911f12100eda47f646cc2a14f2c4563e5d65f3e99dd30284493de9b5ff8389ee51ba62d51bb0a92235ccb1109e54ab6b1b5fe401fe4f60d18b1ccc51f92aa29b70fba7a400ff9058fdf8#http://tv.20191209.xyz:37377/migu/608807416.m3u8?migutoken=3e58d508ab4bf069dc535fdfc6330dfccfc52c3bb391b5b5602cff12f0acbb883fa9280c7422a00e84eba6fd1e2ddb27dc888d6e63e914595ce9fb917d9462307140d2558dac1fb322c2a85b#http://221.226.4.10:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://218.15.20.81:3388/hls/30/index.m3u8
CCTV4,http://123.101.157.20:808/hls/4/index.m3u8
CCTV4,http://121.17.146.188:50003/hls/4/index.m3u8
CCTV4,http://121.17.146.178:50003/hls/4/index.m3u8
CCTV4,http://114.104.171.233:20080/hls/4/index.m3u8
CCTV5,http://3.itv.nctv.top:34567/gaoma/cctv5.m3u8#http://tv.20191209.xyz:37377/migu/641886683.m3u8?migutoken=81d12cec2983a402e950068a320720875c9b84d86ead50b7ee5cc3d407f55f3d85a8e298762710bc211027e047162ea27025e20dda4ac4921a6c1d8b950dbe297e15174889d5122c0e3462d0#http://39.164.180.36:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://tv.20191209.xyz:37377/migu/641886683.m3u8?migutoken=81d12cec2983a402e950068a320720875c9b84d86ead50b7ee5cc3d407f55f3d85a8e298762710bc211027e047162ea27025e20dda4ac4921a6c1d8b950dbe297e15174889d5122c0e3462d0#http://39.164.180.36:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://218.15.20.81:3388/hls/4/index.m3u8
CCTV5,http://123.101.157.20:808/hls/5/index.m3u8
CCTV5,http://121.17.146.188:50003/hls/5/index.m3u8
CCTV5,http://121.17.146.178:50003/hls/5/index.m3u8
CCTV5,http://114.104.171.233:20080/hls/5/index.m3u8
CCTV5+,http://3.itv.nctv.top:34567/gaoma/cctv5p.m3u8#http://1752e145z8.vicp.fun:35455/gaoma/cctv5p.m3u8#http://live.nctv.top/IQDSriyt/wntv.php?id=CCTV5_HD#http://tv.20191209.xyz:37377/migu/641886773.m3u8?migutoken=dfc218ce4c1ff00475c0aef03e0b883bf8a277b36671d5ca1eb7cc5f7ce7919d01ee050351170891d6e103aa7adea25827c13c901ccf6cdf4a8a370e7fd90c8b198dcb1e8814bbf2ed4fb0c8#http://39.164.180.36:19901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://tv.20191209.xyz:37377/migu/641886773.m3u8?migutoken=dfc218ce4c1ff00475c0aef03e0b883bf8a277b36671d5ca1eb7cc5f7ce7919d01ee050351170891d6e103aa7adea25827c13c901ccf6cdf4a8a370e7fd90c8b198dcb1e8814bbf2ed4fb0c8#http://39.164.180.36:19901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://218.15.20.81:3388/hls/5/index.m3u8
CCTV5+,http://123.101.157.20:808/hls/18/index.m3u8
CCTV5+,http://121.17.146.188:50003/hls/21/index.m3u8
CCTV5+,http://121.17.146.178:50003/hls/21/index.m3u8
CCTV5+,http://114.104.171.233:20080/hls/6/index.m3u8
CCTV6,http://42.48.105.224:9002/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://113.140.12.230:8888/newlive/live/hls/7/live.m3u8#http://tv.20191209.xyz:37377/migu/624878396.m3u8?migutoken=14b6f481c50ac947cd74bf4b212c490bc99f4bebefd4ce18011c9eb269208a0ce9740af370135e855763df734bac8f57f36721ae54b6afc81829420e84f46c65a2de80938b057c6ec23459eb#http://z.b.bkpcp.top/m.php?id=cctv6#http://39.164.180.36:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://218.15.20.81:3388/hls/16/index.m3u8
CCTV6,http://123.101.157.20:808/hls/6/index.m3u8
CCTV6,http://121.17.146.188:50003/hls/6/index.m3u8
CCTV6,http://121.17.146.178:50003/hls/6/index.m3u8
CCTV6,http://58.58.111.222:808/hls/107/index.m3u8
CCTV7,http://1752e145z8.vicp.fun:35455/gaoma/cctv7.m3u8#http://tv.20191209.xyz:37377/migu/673168121.m3u8?migutoken=76fbb50f9a12de455452a0b92fde921c6a9a596f2e4035246492270152653570a478746ff105876f101081cb38974e61faa26aebb018bef93a4d7b8a840fa3beb2b478fdb581d84460caa867#http://39.170.52.236:808/hls/7/index.m3u8#http://36.105.100.208:35455/gaoma/cctv7.m3u8#http://220.164.192.48:50085/tsfile/live/0008_1.m3u8#http://8.138.7.223/tv/cctv7.m3u8#http://[2409:8087:1:20:20::2a]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EutDC7HLJc_gC0YdIDr7oig%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPOHuulzlCcw92vP3vgYa4n%2CEND#http://120.76.248.139/live/bfgd/4200000127.m3u8#http://148.135.93.213:81/live.php?id=CCTV7#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4080&tk=a0c4f6cfaba3#http://182.37.169.94:352/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.66.15.146:60901/tsfile/live/0007_1.m3u8?key=txiptv#http://58.243.224.244:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0#http://124.93.18.238:9003//hls/7/index.m3u8#http://219.135.180.210:18888/hls/7/index.m3u8#http://60.219.176.250:9003//hls/107/index.m3u8#http://1.24.39.180:9003/hls/7/index.m3u8#rtsp://180.95.143.19/PLTV/88888910/224/3221225572/10000100000000060000000000107352_0.smil#http://home.kuaidi521.com:35455/gaoma/cctv7.m3u8#http://60.223.224.176:8888/newlive/live/hls/9/live.m3u8#http://goo.bkpcp.top/mg/cctv7
CCTV7,http://218.15.20.81:3388/hls/17/index.m3u8
CCTV7,http://123.101.157.20:808/hls/7/index.m3u8
CCTV7,http://121.17.146.188:50003/hls/7/index.m3u8
CCTV7,http://121.17.146.178:50003/hls/7/index.m3u8
CCTV7,http://114.104.171.233:20080/hls/8/index.m3u8
